Title,Studio,Content Rating,Year,Rating,Summary,Genres,Release Date,Writers,Duration,Directors,Roles
Tomorrowland,Walt Disney Pictures,PG,2015,6.2,"Bound by a shared destiny, a bright,
optimistic teen bursting with scientific
curiosity and a former boy-genius
inventor jaded by disillusionment embark
on a danger-filled mission to unearth
the secrets of an enigmatic place
somewhere in time and space that exists
in their collective memory as
""Tomorrowland.""",Adventure - Family - Mystery,5/9/2015,Brad Bird - Damon Lindelof,2:10:03,Brad Bird,"Britt Robertson - George Clooney -
Raffey Cassidy"
Toy Story,Pixar Animation Studios,G,1995,7.7,"Led by Woody, Andy's toys live happily
in his room until Andy's birthday brings
Buzz Lightyear onto the scene. Afraid of
losing his place in Andy's heart, Woody
plots against Buzz. But when
circumstances separate Buzz and Woody
from their owner, the duo eventually
learns to put aside their differences.",Animation - Comedy - Family,11/19/1995,"Joss Whedon - Andrew Stanton - Joel
Cohen",1:21:03,John Lasseter,Tom Hanks - Tim Allen - Don Rickles
Toy Story 2,Pixar Animation Studios,G,1999,7.3,"Andy heads off to Cowboy Camp, leaving
his toys to their own devices. Things
shift into high gear when an obsessive
toy collector named Al McWhiggen, owner
of Al's Toy Barn kidnaps Woody. Andy's
toys mount a daring rescue mission, Buzz
Lightyear meets his match and Woody has
to decide where he and his heart truly
belong.",Animation - Comedy - Family,11/24/1999,"Andrew Stanton - Rita Hsiao - Doug
Chamberlin",1:32:25,John Lasseter,Tom Hanks - Tim Allen - Joan Cusack
Toy Story 3,Walt Disney Pictures,G,2010,7.6,"Woody, Buzz, and the rest of Andy's toys
haven't been played with in years. With
Andy about to go to college, the gang
find themselves accidentally left at a
nefarious day care center. The toys must
band together to escape and return home
to Andy.",Animation - Family - Comedy,6/17/2010,Michael Arndt,1:42:33,Lee Unkrich,Tom Hanks - Tim Allen - Ned Beatty
Toy Story That Time Forgot,Pixar Animation Studios,G,2014,6.8,"During a post-Christmas play date, the
gang find themselves in uncharted
territory when the coolest set of action
figures ever turn out to be dangerously
delusional. It's all up to Trixie, the
triceratops, if the gang hopes to return
to Bonnie's room in this Toy Story That
Time Forgot.",Animation - Family,12/2/2014,Steve Purcell,0:21:36,Steve Purcell,Tom Hanks - Tim Allen - Joan Cusack
Trainwreck,Universal Pictures,R,2015,5.9,"Having thought that monogamy was never
possible, a commitment-phobic career
woman may have to face her fears when
she meets a good guy.",Comedy,3/15/2015,Amy Schumer,2:04:38,Judd Apatow,Amy Schumer - Bill Hader - Brie Larson
Trance,Cloud Eight Films,R,2013,6.5,"A fine art auctioneer mixed up with a
gang, joins forces with a hypnotherapist
to recover a lost painting. As
boundaries between desire, reality and
hypnotic suggestion begin to blur, the
stakes rise faster than anyone could
have anticipated.",Thriller - Crime - Drama,4/5/2013,John Hodge - Joe Ahearne,1:41:19,Danny Boyle,"James McAvoy - Vincent Cassel - Rosario
Dawson"
Transcendence,Alcon Entertainment,PG-13,2014,5.9,"Two leading computer scientists work
toward their goal of Technological
Singularity,  as a radical anti-
technology organization fights to
prevent them from creating a world where
computers can transcend the abilities of
the human brain.",Thriller - Science Fiction - Drama,4/17/2014,Jack Paglen,1:59:17,Wally Pfister,"Johnny Depp - Paul Bettany - Rebecca
Hall"
Triple 9,Worldview Entertainment,R,2016,5.5,"A gang of criminals and corrupt cops
plan the murder of a police officer in
order to pull off their biggest heist
yet across town.",Thriller,2/19/2016,Matt Cook,1:50:34,John Hillcoat,"Casey Affleck - Chiwetel Ejiofor - Woody
Harrelson"
Trolls,Twentieth Century Fox Film Corporation,PG,2016,6.6,"Lovable and friendly, the trolls love to
play around. But one day, a mysterious
giant shows up to end the party. Poppy,
the optimistic leader of the Trolls, and
her polar opposite, Branch, must embark
on an adventure that takes them far
beyond the only world they’ve ever
known.",Adventure - Animation - Family,11/4/2016,"Wallace Wolodarsky - Jonathan Aibel -
Glenn Berger",1:32:48,Mike Mitchell - Walt Dohrn,"Anna Kendrick - Justin Timberlake -
Zooey Deschanel"
Unbreakable,Limited Edition Productions Inc.,PG-13,2000,6.8,"An ordinary man makes an extraordinary
discovery when a train accident leaves
his fellow passengers dead -- and him
unscathed. Is he truly unbreakable? The
answer could lie with the mysterious
Elijah Price, a man who suffers from a
disease that renders his bones as
fragile as glass.",Action - Fantasy - Thriller,11/13/2000,M. Night Shyamalan,1:46:47,M. Night Shyamalan,"Bruce Willis - Samuel L. Jackson - Robin
Wright"
Unbroken,Legendary Pictures,PG-13,2014,7.2,"A chronicle of the life of Louis
Zamperini, an Olympic runner who was
taken prisoner by Japanese forces during
World War II.",Drama - War,12/25/2014,"Ethan Coen - Joel Coen - Richard
LaGravenese",2:17:28,Angelina Jolie,"Jack O'Connell - Domhnall Gleeson -
Garrett Hedlund"
Up,Pixar Animation Studios,PG,2009,7.7,"Carl Fredricksen spent his entire life
dreaming of exploring the globe and
experiencing life to its fullest. But at
age 78, life seems to have passed him
by, until a twist of fate (and a
persistent 8-year old Wilderness
Explorer named Russell) gives him a new
lease on life.",Animation - Comedy - Family,5/28/2009,Pete Docter - Bob Peterson,1:36:07,Pete Docter,"Ed Asner - Christopher Plummer - Jordan
Nagai"
Vacation,New Line Cinema,R,2015,6.1,"Hoping to bring his family closer
together and to recreate his childhood
vacation for his own kids, a grown up
Rusty Griswold takes his wife and their
two sons on a cross-country road trip to
the coolest theme park in America,
Walley World. Needless to say, things
don't go quite as planned.",Comedy,7/29/2015,"John Francis Daley - Jonathan M.
Goldstein",1:38:59,"John Francis Daley - Jonathan M.
Goldstein","Ed Helms - Christina Applegate - Skyler
Gisondo"
A Walk Among the Tombstones,Double Feature Films,R,2014,6.2,"Private investigator Matthew Scudder is
hired by a drug kingpin to find out who
kidnapped and murdered his wife.",Crime - Drama - Mystery,9/19/2014,Scott Frank,1:54:05,Scott Frank,"Liam Neeson - Dan Stevens - David
Harbour"
WALL·E,Walt Disney Pictures,G,2008,7.7,"WALL·E is the last robot left on an
Earth that has been overrun with garbage
and all humans have fled to outer space.
For 700 years he has continued to try
and clean up the mess, but has developed
some rather interesting human-like
qualities. When a ship arrives with a
sleek new type of robot, WALL·E thinks
he's finally found a friend and stows
away on the ship when it leaves.",Animation - Family,6/22/2008,Jim Reardon - Andrew Stanton,1:38:42,Andrew Stanton,Ben Burtt - Elissa Knight - Jeff Garlin
War Dogs,The Mark Gordon Company,R,2016,6.8,"Based on the true story of two young
men, David Packouz and Efraim Diveroli,
who won a $300 million contract from the
Pentagon to arm America's allies in
Afghanistan.",Comedy - Crime - Drama,8/19/2016,"Todd Phillips - Jason Smilovic - Stephen
Chin",1:54:12,Todd Phillips,Miles Teller - Jonah Hill - Ana de Armas
Warcraft,Universal Pictures,PG-13,2016,6.3,"The peaceful realm of Azeroth stands on
the brink of war as its civilization
faces a fearsome race of invaders: orc
warriors fleeing their dying home to
colonize another. As a portal opens to
connect the two worlds, one army faces
destruction and the other faces
extinction. From opposing sides, two
heroes are set on a collision course
that will decide the fate of their
family, their people, and their home.",Action - Adventure - Fantasy,6/10/2016,Charles Leavitt - Duncan Jones,2:03:07,Duncan Jones,"Paula Patton - Travis Fimmel - Ben
Foster"
Whiskey Tango Foxtrot,Paramount Pictures,R,2016,6,"In 2002, cable news producer Kim Barker
(Tina Fey) decides to shake up her
routine by taking a daring new
assignment in Kabul, Afghanistan.
Dislodged from her comfortable American
lifestyle, Barker finds herself in the
middle of an out-of-control war zone.
Luckily, she meets Tanya Vanderpoel
(Margot Robbie), a fellow journalist who
takes the shellshocked reporter under
her wing. Amid the militants, warlords
and nighttime partying, Barker discovers
the key to becoming a successful
correspondent.",War - Comedy,3/4/2016,Robert Carlock,1:51:48,Glenn Ficarra - John Requa,"Tina Fey - Margot Robbie - Billy Bob
Thornton"
Willy Wonka & the Chocolate Factory,Paramount Pictures,G,1971,7.4,"Eccentric candy man Willy Wonka prompts
a worldwide frenzy when he announces
that golden tickets hidden inside five
of his delicious candy bars will admit
their lucky holders into his top-secret
confectionary. But does Wonka have an
agenda hidden amid a world of Oompa
Loompas and chocolate rivers?",Family - Fantasy,6/30/1971,Roald Dahl,1:39:45,Mel Stuart,"Gene Wilder - Jack Albertson - Peter
Ostrum"
The Witch,Parts and Labor,R,2015,6.2,"New England in the 1630s: William and
Katherine lead a devout Christian life
with five children, homesteading on the
edge of an impassable wilderness. When
their newborn son vanishes and crops
fail, the family turns on one another.
Beyond their worst fears, a supernatural
evil lurks in the nearby wood.",Mystery - Horror,1/23/2015,Robert Eggers,1:32:32,Robert Eggers,"Anya Taylor-Joy - Ralph Ineson - Kate
Dickie"
The Wizard of Oz,Loew's Incorporated,G,1939,7.4,"Young Dorothy finds herself in a magical
world where she makes friends with a
lion, a scarecrow and a tin man as they
make their way along the yellow brick
road to talk with the Wizard and ask for
the things they miss most in their
lives. The Wicked Witch of the West is
the only thing that could stop them.",Adventure - Family - Fantasy,8/12/1939,"Noel Langley - Florence Ryerson - Edgar
Allan Woolf",1:41:48,Victor Fleming,Judy Garland - Frank Morgan - Ray Bolger
The Wolf of Wall Street,Paramount Pictures,R,2013,7.9,"A New York stockbroker refuses to
cooperate in a large securities fraud
case involving corruption on Wall
Street, corporate banking world and mob
infiltration. Based on Jordan Belfort's
autobiography.",Crime - Drama - Comedy,12/25/2013,Terence Winter,2:59:52,Martin Scorsese,"Leonardo DiCaprio - Jonah Hill - Margot
Robbie"
Wreck-It Ralph,Walt Disney Animation Studios,PG,2012,7,"Wreck-It Ralph is the 9-foot-tall,
643-pound villain of an arcade video
game named Fix-It Felix Jr., in which
the game's titular hero fixes buildings
that Ralph destroys. Wanting to prove he
can be a good guy and not just a
villain, Ralph escapes his game and
lands in Hero's Duty, a first-person
shooter where he helps the game's hero
battle against alien invaders. He later
enters Sugar Rush, a kart racing game
set on tracks made of candies, cookies
and other sweets. There, Ralph meets
Vanellope von Schweetz who has learned
that her game is faced with a dire
threat that could affect the entire
arcade, and one that Ralph may have
inadvertently started.",Family - Animation - Comedy,11/2/2012,Jennifer Lee - Phil Johnston,1:41:13,Rich Moore,"John C. Reilly - Sarah Silverman - Jane
Lynch"
X-Men: Apocalypse,Twentieth Century Fox Film Corporation,PG-13,2016,6.3,"After the re-emergence of the world's
first mutant, world-destroyer
Apocalypse, the X-Men must unite to
defeat his extinction level plan.",Action - Adventure - Fantasy,5/27/2016,"Michael Dougherty - Dan Harris - Simon
Kinberg",2:23:58,Bryan Singer,"James McAvoy - Michael Fassbender -
Jennifer Lawrence"
X-Men: Days of Future Past,Twentieth Century Fox Film Corporation,PG-13,2014,7.6,"The ultimate X-Men ensemble fights a war
for the survival of the species across
two time periods as they join forces
with their younger selves in an epic
battle that must change the past – to
save our future.",Action - Adventure - Fantasy,5/23/2014,Simon Kinberg,2:11:09,Bryan Singer,"Hugh Jackman - James McAvoy - Michael
Fassbender"
Zero Dark Thirty,Columbia Pictures,R,2012,6.6,"A chronicle of the decade-long hunt for
al-Qaeda terrorist leader Osama bin
Laden after the September 2001 attacks,
and his death at the hands of the Navy
S.E.A.L. Team 6 in May, 2011.",Thriller - Drama - History,12/19/2012,Mark Boal,2:36:59,Kathryn Bigelow,"Jessica Chastain - Jason Clarke - Mark
Strong"
Zoolander 2,Scott Rudin Productions,PG-13,2016,4.7,"Derek and Hansel are modelling again
when an opposing company attempts to
take them out from the business.",Comedy,2/12/2016,"Justin Theroux - Ben Stiller - Nicholas
Stoller",1:41:47,Ben Stiller,Ben Stiller - Owen Wilson - Will Ferrell
Zootopia,Walt Disney Pictures,PG,2016,7.6,"Determined to prove herself, Officer
Judy Hopps, the first bunny on
Zootopia's police force, jumps at the
chance to crack her first case - even if
it means partnering with scam-artist fox
Nick Wilde to solve the mystery.",Animation - Adventure - Family,3/4/2016,Jared Bush - Phil Johnston,1:48:32,Byron Howard - Rich Moore - Jared Bush,"Ginnifer Goodwin - Jason Bateman -
Shakira"
